status,reason,symbol,optionTicker,side,fillPrice,occurredAt,provenanceSource,providerResultCount,recordedTradeAt,recordedTradePrice,recordedMarkPrice,firstProviderTradeAt,firstProviderTradePrice,recordedPriceExistsInTradeWindow,recordedTimestampWithin1ms,exactAggregateAt,exactAggregateClose,nearbyAggregateAt,nearbyAggregateClose,fillId,orderId,error
matched,"first provider trade, recorded price, and recorded timestamp match",RTX,O:RTX260410C00200000,sell,1.81,2026-04-06T15:11:00.000Z,polygon-option-trade,2,2026-04-06T15:11:05.723Z,1.81,1.76,2026-04-06T15:11:05.723Z,1.81,true,true,,,,,cfbaa837-490d-4df9-9dae-7de783d2c2e3,5096cf5c-bc16-4f8a-b375-aae3c4ccf348,
matched,"first provider trade, recorded price, and recorded timestamp match",DELL,O:DELL260410C00175000,buy,3.64,2026-04-06T16:05:00.000Z,polygon-option-trade,1,2026-04-06T16:05:22.743Z,3.64,3.64,2026-04-06T16:05:22.743Z,3.64,true,true,,,,,5376fae6-8641-47c7-8aa5-9751c86c000b,d92a564a-da35-4f6c-8ad4-ba79784a05f3,
matched,"first provider trade, recorded price, and recorded timestamp match",META,O:META260410C00575000,buy,11.41,2026-04-06T16:10:00.000Z,polygon-option-trade,6,2026-04-06T16:10:01.885Z,11.41,11.32,2026-04-06T16:10:01.885Z,11.41,true,true,,,,,ff591750-5d6e-4517-af5f-51b7487c9a58,67ccec2b-cde0-4fb8-b978-e404b42ff18c,
matched,"first provider trade, recorded price, and recorded timestamp match",MRVL,O:MRVL260410C00106000,buy,5.04,2026-04-06T16:45:00.000Z,polygon-option-trade,1,2026-04-06T16:45:41.689Z,5.04,5.04,2026-04-06T16:45:41.689Z,5.04,true,true,,,,,9ab0ace2-c5f9-4c2d-b47e-455e24feb0ea,a8dceea0-e329-4cfa-a1ea-88b3c32e3d97,
matched,"first provider trade, recorded price, and recorded timestamp match",GD,O:GD260410C00350000,buy,4,2026-04-06T16:50:00.000Z,polygon-option-trade,1,2026-04-06T16:50:09.233Z,4,4,2026-04-06T16:50:09.233Z,4,true,true,,,,,eb55bc86-69cb-4bc8-a4ba-97bd1a693c5b,de63243f-c427-4bce-97b6-0c8e39fc9a21,
matched,"first provider trade, recorded price, and recorded timestamp match",VXX,O:VXX260410C00035000,buy,0.92,2026-04-06T16:50:00.000Z,polygon-option-trade,2,2026-04-06T16:50:06.767Z,0.92,0.92,2026-04-06T16:50:06.767Z,0.92,true,true,,,,,c5486cba-740b-4934-9962-81d7fca6e590,c53f3a9e-b765-4596-b333-2e3e1708de2b,
matched,"first provider trade, recorded price, and recorded timestamp match",COIN,O:COIN260410C00175000,sell,6.98,2026-04-06T16:55:00.000Z,polygon-option-trade,2,2026-04-06T16:55:10.841Z,6.98,6.7,2026-04-06T16:55:10.841Z,6.98,true,true,,,,,f12a3073-5163-475f-b99b-846db9578c4c,83244cd1-e675-497c-ab94-b33bdd7fc5fa,
matched,"first provider trade, recorded price, and recorded timestamp match",TSM,O:TSM260410C00340000,sell,7.55,2026-04-06T16:55:00.000Z,polygon-option-trade,10,2026-04-06T16:55:00.126Z,7.55,7.49,2026-04-06T16:55:00.126Z,7.55,true,true,,,,,fa3b0b96-9073-434c-a4e7-657eb5e608da,b30279d6-8cb8-4918-82fd-358f959b3ed3,
no_provider_bars_near_fill,provider returned no 1-minute aggregate bars within +/-2 minutes,DELL,O:DELL260410C00175000,sell,3.45,2026-04-06T17:05:00.000Z,polygon-option-aggregates,0,,,3.45,,,,,,,,,226c6049-f2b2-4092-b1b2-b92798586dd3,9933012f-8eff-450a-9982-a95bed07cd3e,
no_provider_bars_near_fill,provider returned no 1-minute aggregate bars within +/-2 minutes,DIA,O:DIA260410C00463000,sell,6.6,2026-04-06T17:05:00.000Z,polygon-option-aggregates,0,,,6.6,,,,,,,,,dbe1b5d7-d0f9-425f-b64c-7b0b489bcd99,603659c4-7b64-4fd1-bde9-92449de5963f,
no_provider_bars_near_fill,provider returned no 1-minute aggregate bars within +/-2 minutes,HUT,O:HUT260410C00049000,sell,2.48,2026-04-06T17:05:00.000Z,polygon-option-aggregates,0,,,2.48,,,,,,,,,65b972cf-b27b-484a-86c2-c4db761ab9cf,45625755-1a2e-4b13-b441-67ca76bff9ce,
matched,exact 1-minute aggregate close matches fill price,SQQQ,O:SQQQ260410C00075000,buy,3.37,2026-04-06T17:06:00.000Z,polygon-option-aggregates,2,,,3.37,,,,,2026-04-06T17:06:00.000Z,3.37,2026-04-06T17:06:00.000Z,3.37,52209ccb-2576-4c3d-a350-c43f7a86d573,a8befa71-d92e-4ba6-a5d5-8c6e8c967a10,
